SEED,setup,year,salinity,bg_mean,ag_mean,root_mean,age_mean,age_q95,age_max,no_trees,tdens,basal_area,dbh_mean,height_mean,gain,no_gain,no_groups,no_groups_bigger_2,gdens,no_grafted,gs_mean,gs_max,node_degree_mean,shape_mean,p_non_red,p_non_red_no2,fgraft,fgain,ROOTING,GRAFTING,RESOURCES
18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333,10,0.889948041011802,0.413077810418286,2.34005956607006,97.7900641025641,208.445833333333,400,52,577.777777777778,403230.451313463,26.2365803983958,13.8823620212336,0,0,6,4,66.6666666666667,45,7.5,28,1.83333333333333,1.25925925925926,33.3333333333333,0,86.5384615384616,0,0,0,0
18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333,10,0.890033231737217,0.487371571329741,2.25248980266768,102.774822695035,231.883333333333,272.333333333333,47,522.222222222222,386274.497128674,25.5946272006596,13.2582739512833,0,0,7,6,77.7777777777778,38,5.42857142857143,18,1.45873015873016,1.01680672268908,85.7142857142857,83.3333333333333,80.8510638297872,0,0,0,0
18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,10,0.890336118967098,0.537517592605176,1.84605668136041,85.1483050847458,269.325,322.333333333333,59,655.555555555556,367317.329653552,20.2970511149708,11.0777097630922,0,0,9,4,100,38,4.22222222222222,13,1.32836792836793,1.02777777777778,88.8888888888889,75,64.406779661017,0,0,0,0
18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,10,0.890739856617573,0.647548743821411,1.34509849798478,48.4099616858238,216.825,372.333333333333,87,966.666666666667,290736.547861759,13.2869766565016,8.17323880862404,0,0,15,9,166.666666666667,54,3.6,13,1.47435897435897,1.12777777777778,66.6666666666667,44.4444444444444,62.0689655172414,0,0,0,0
18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600,10,0.88963610023795,0.472084100277616,2.73049801439357,137.668859649123,301.15,422.25,38,422.222222222222,398202.204526718,31.9914010153087,16.1212180780394,0,0,4,3,44.4444444444444,32,8,23,1.83876811594203,1.24621212121212,50,33.3333333333333,84.2105263157895,0,0,0,0
18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,10,0.890216660851829,0.430209365076208,1.55977127255679,68.7349537037037,155.5375,399.5,72,800,456663.660094482,21.7163837052141,11.9457139157665,0,0,10,7,111.111111111111,48,4.8,14,1.70666666666667,1.18435897435897,40,14.2857142857143,66.6666666666667,0,1,0,0
18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,10,0.889582868335392,0.366664238988591,2.16871092713151,116.87962962963,205.033333333334,245.833333333333,45,500,499746.903664886,32.8170491181898,16.4983075837615,0,0,9,6,100,34,3.77777777777778,6,1.49259259259259,1.07777777777778,77.7777777777778,66.6666666666667,75.5555555555556,0,1,0,0
18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333,10,0.889682076895696,0.423251067377043,2.08136041123958,124.069444444445,254.358333333333,255.583333333333,42,466.666666666667,451639.889713456,31.3129193579774,15.7850556967721,0,0,8,3,88.8888888888889,26,3.25,8,1.21041666666667,1,100,100,61.9047619047619,0,1,0,0
18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333,10,0.890530794974797,0.579846306533022,1.2443672267533,66.4504830917875,254.633333333333,298,69,766.666666666667,352902.519059088,16.9438646044456,9.67316117575767,0,0,8,3,88.8888888888889,22,2.75,6,1.16666666666667,1,100,100,31.8840579710145,0,1,0,0
18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,10,0.890229188592466,0.519945721205445,1.52168149805512,80.6547619047619,261.520833333333,305.916666666667,56,622.222222222222,350196.701001409,21.2380014370131,11.8552371672037,0,0,11,4,122.222222222222,27,2.45454545454545,4,1.1969696969697,1.04545454545455,90.9090909090909,75,48.2142857142857,0,1,0,0
18782,setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,10,0.890354557629309,0.448349267588415,1.16199983360788,60.7540160642571,191.225,246.916666666667,83,922.222222222222,437453.163237223,18.6034844870251,10.9502139214632,0,0,18,6,200,46,2.55555555555556,6,1.2037037037037,1.0462962962963,88.8888888888889,66.6666666666667,55.421686746988,0,2,0,0
18782,setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,450.083333333333,10,0.889819162119704,0.494063532772131,1.5662764527278,106.476449275362,231.645833333333,276.25,46,511.111111111111,405946.432900396,27.6578839360762,14.7842328800568,0,0,7,2,77.7777777777778,18,2.57142857142857,5,1.13333333333333,1,100,100,39.1304347826087,0,2,0,0
18782,setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,500.083333333333,10,0.889825974901466,0.520640576261103,1.63505882416561,121.152083333333,257.554166666666,326.25,40,444.444444444444,404527.576449463,29.0601248772316,14.7372304239253,0,0,4,2,44.4444444444444,11,2.75,4,1.20833333333333,1,100,100,27.5,0,2,0,0
18782,setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333,10,0.890518914218206,0.539253432347055,1.04515968508161,69.5762910798122,260.791666666667,376.25,71,788.888888888889,362853.389619686,16.5157165347807,9.76047072111783,0,0,11,1,122.222222222222,23,2.09090909090909,3,1.03030303030303,1,100,100,32.3943661971831,0,2,0,0
18782,setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600,10,0.890299384728945,0.480998136152722,1.17723744030318,78.3239247311828,273.358333333333,390.166666666667,62,688.888888888889,342368.951010516,18.9887820544113,11.3497473481276,0,0,8,3,88.8888888888889,19,2.375,3,1.125,1,100,100,30.6451612903226,0,2,0,0
18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,400.083333333333,9.13443417861208,0.899908402326928,0.54113836372534,1.69365555016023,71.3865740740741,191.366666666667,399.916666666667,72,800,347694.13081094,17.9584922759452,10.5834334031301,0,0,9,6,100,53,5.88888888888889,13,1.87271062271062,1.28174603174603,33.3333333333333,0,73.6111111111111,0,0,0,1
18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,450.083333333333,9.1544308520942,0.899729733077942,0.621855980622665,1.75890217092898,74.0448717948718,224.316666666666,256.5,65,722.222222222222,355940.958872502,19.035253434891,10.4762654963338,0,0,8,6,88.8888888888889,46,5.75,10,2.02103174603175,1.29861111111111,25,0,70.7692307692308,0,0,0,1
