k,p_k,SPE,ENV,GRAFT,SEED,setup,year
2,0.0434782608695652,2,0,0,18782,setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,550.083333333333
1,0.842105263157895,2,0,0,18782,setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600
2,0.157894736842105,2,0,0,18782,setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,600
1,0.361111111111111,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333
2,0.111111111111111,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333
3,0.138888888888889,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333
4,0.166666666666667,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333
5,0.138888888888889,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333
6,0.0555555555555556,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333
7,0.0277777777777778,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,400.083333333333
1,0.418604651162791,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333
2,0.441860465116279,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333
3,0.0930232558139535,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333
4,0.0465116279069768,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,450.083333333333
1,0.292682926829268,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333
2,0.487804878048781,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333
3,0.121951219512195,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333
4,0.0731707317073171,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333
5,0.024390243902439,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,500.083333333333
1,0.303571428571429,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333
