setup,year,groupSize,noLinks,groupID,dist_mean,dist_max,shape,gIDpy,SEED,ROOTING,RESOURCES,GRAFTING
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,5,5,gID_3,3.2478600572696,5.36445795977957,1.25,gID_35,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,5,5,gID_9,0.974650754201804,1.33166866020019,1.25,gID_41,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,13,17,gID_2,4.42240607853791,6.86402433763664,1.41666666666667,gID_16,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600,2,1,gID_1,6.0177442007053,6.0177442007053,1,gID_4,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600,3,2,gID_4,3.39219036555008,4.28928049839791,1,gID_32,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600,4,5,gID_3,3.15502427038745,3.84143942070683,1.66666666666667,gID_26,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600,23,29,gID_2,5.21465616794475,7.49306166383097,1.31818181818182,gID_3,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,2,1,gID_2,3.60789890977986,3.60789890977986,1,gID_7,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,2,1,gID_5,2.04109872606806,2.04109872606806,1,gID_31,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,2,1,gID_7,2.16602677806699,2.16602677806699,1,gID_48,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,3,2,gID_8,1.92473239178365,1.99710969953678,1,gID_42,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,4,4,gID_10,1.05779508906162,1.15197530262283,1.33333333333333,gID_64,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,4,4,gID_6,2.39940161581478,3.41531238531743,1.33333333333333,gID_33,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,5,6,gID_4,2.77935911928682,3.39412056776598,1.5,gID_26,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,6,6,gID_9,1.622354599518,2.02645340875507,1.2,gID_50,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,6,7,gID_3,2.92537352434685,4.66405559598378,1.4,gID_11,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333,14,14,gID_1,4.01699978280746,5.72825017869554,1.07692307692308,gID_14,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,2,1,gID_6,3.44637619299215,3.44637619299215,1,gID_25,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,2,1,gID_7,3.41531238531743,3.41531238531743,1,gID_24,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,2,1,gID_8,4.21450743150446,4.21450743150446,1,gID_31,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,3,2,gID_4,4.51746103904261,4.6403254494983,1,gID_14,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,4,3,gID_5,3.79922085273444,4.88153771608411,1,gID_27,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,5,4,gID_1,4.41983541386761,5.72825017869554,1,gID_9,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,5,4,gID_9,1.85855170123115,2.26308935279842,1,gID_40,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,5,6,gID_3,3.40112755970253,5.30087687019193,1.5,gID_10,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333,6,6,gID_2,3.70617553876682,5.65182646224811,1.2,gID_18,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333,2,1,gID_3,3.41531238531743,3.41531238531743,1,gID_15,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333,2,1,gID_4,4.21450743150446,4.21450743150446,1,gID_21,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333,2,1,gID_6,2.48253177513162,2.48253177513162,1,gID_28,18782,1,0,0
