mu,mu_star,sigma,mu_star_conf,input_var,ts,output_var
3.05817572866077,6.41472413215257,8.05475625583603,3.29574839440581,f_radius,400,dbh_mean
-14.1458233993812,14.3277386238485,9.34989467823736,5.71434950254689,salinity,400,dbh_mean
-1.5440926350888,7.2743100646679,8.75430774697792,2.57316320513188,amplitude,400,dbh_mean
-0.411675840860582,5.80418546624656,8.45371120085377,3.11503402902298,deviation,400,dbh_mean
-6.39663453545078,7.37577569958521,9.76927016776056,4.76115224511846,f_growth,400,dbh_mean
-3.51814151276115,5.34320687737286,5.96734722898922,2.47886383553768,k_die,400,dbh_mean
-1.8103934169945,8.54802421574514,11.1174329723418,4.35744310398639,recruits,400,dbh_mean
-1.55773053740208,5.90461291406482,8.44676930892758,3.3306066277518,f_radius,500,dbh_mean
-11.1852179738532,11.6508452296968,8.3324797061194,5.04398373185934,salinity,500,dbh_mean
-5.07432740101758,10.2072077197381,10.7374100316804,2.91119531272449,amplitude,500,dbh_mean
-3.32785409337349,6.27157647463789,8.9393026526548,3.74729224432966,deviation,500,dbh_mean
1.48387252789442,4.23664170043533,5.82475676464327,2.42951964523941,f_growth,500,dbh_mean
-3.14032823869483,4.59728656851076,5.75765389532207,2.86913703328067,k_die,500,dbh_mean
-5.29050980027765,6.10807685172745,5.9770184801466,2.56313706398131,recruits,500,dbh_mean
1.89091434828411,3.34546555617165,3.74819339799185,1.59306238139954,f_radius,600,dbh_mean
-9.18868927624526,11.0021529488027,10.0062126240916,4.86845237013166,salinity,600,dbh_mean
-4.96457053860107,8.15105256688954,10.3663382090926,4.82481837190866,amplitude,600,dbh_mean
2.36340072116121,6.38050316440189,9.72967202257414,3.9204269741612,deviation,600,dbh_mean
-1.15725964870913,5.48031531602173,7.13055755201992,2.8360490407558,f_growth,600,dbh_mean
-6.09629651854659,7.77029743066101,8.37864101731126,3.71892454270321,k_die,600,dbh_mean
-5.97064082612836,7.0331442367371,5.59717642335922,2.33754960982973,recruits,600,dbh_mean
-2.13609661679902,33.803570883786,43.7563948177136,15.0793961661516,f_radius,400,fgraft
15.3786542070887,40.3569545536856,50.633065426789,19.4580232836395,salinity,400,fgraft
-4.43751336951786,32.2156390045729,38.5219359383404,11.5631916931434,amplitude,400,fgraft
2.68383606704988,15.0970052568127,19.1230319075018,6.38460416809818,deviation,400,fgraft
11.1899918794332,19.4907810456038,24.3604587400271,10.7404127799638,f_growth,400,fgraft
1.1707618082708,15.5151543710665,21.3958245197846,7.380792192707,k_die,400,fgraft
-4.08902179449052,9.86958655738875,12.5744233622769,3.88219870814334,recruits,400,fgraft
-15.5870219982226,34.4417827673268,41.7508723153591,16.0224319013587,f_radius,500,fgraft
21.8280453568445,46.5077456272809,55.8491896066434,21.1347355939226,salinity,500,fgraft
-0.96878140479635,27.40784906955,34.8280452566472,11.625718566009,amplitude,500,fgraft
-3.71919235869702,10.0443875879538,12.9491892748993,5.05931075654404,deviation,500,fgraft
18.4531058768808,31.5004099323314,38.8312910176673,17.3283859248392,f_growth,500,fgraft
3.73551969495649,16.6932125063925,22.80751194705,8.17897658599489,k_die,500,fgraft
-2.91795244794747,18.419535134591,23.3842458953522,8.09882821763177,recruits,500,fgraft
-22.9614182401849,29.3984497068962,29.3647708040505,13.1107164142419,f_radius,600,fgraft
28.2042281107888,44.0547731480809,40.5525759703179,10.8037989944126,salinity,600,fgraft
-7.27668673326915,23.1191356685784,27.9197245845818,8.15903078359865,amplitude,600,fgraft
-21.892198475068,27.757471077221,40.4267636851356,22.0582095687635,deviation,600,fgraft
20.4529420263686,20.6693410326708,19.9193584191756,12.7561802743575,f_growth,600,fgraft
-4.93835807364173,22.3163647350703,30.1405174650662,11.9991237151216,k_die,600,fgraft
-9.26417555398403,16.4875178914453,23.9716891825675,12.240809216008,recruits,600,fgraft
29.0663168403475,47.4141545401239,117.294959575649,77.1205952032895,f_radius,400,gsm
20.1199444836006,20.8563081199642,56.8566866373066,33.0514022711248,salinity,400,gsm
-16.9666440345707,45.2552927657607,86.1741181233881,45.0164886748399,amplitude,400,gsm
-21.5693476732688,23.2761756238848,66.0409787708853,38.1048097043733,deviation,400,gsm
30.6568017748673,32.3059940303858,91.9426791348175,53.3850499390987,f_growth,400,gsm
-55.3459226492159,61.705578733872,175.570471835226,100.772952917313,k_die,400,gsm
-9.69187485108032,24.8819309870444,61.2029496077824,33.4809545491161,recruits,400,gsm
1.5607265714974,10.9215028224506,22.1597936455154,10.8924607839045,f_radius,500,gsm
50.8320786611347,51.9331465482438,130.224504137372,87.457342933929,salinity,500,gsm
-32.4122322215372,43.0290291380709,83.1484313342904,41.030614455956,amplitude,500,gsm
40.3106486713575,41.0581683599595,86.3491784344045,55.7718537666299,deviation,500,gsm
89.9380757296968,90.1411258386293,188.432337784696,114.307925341129,f_growth,500,gsm
-27.9528794784793,94.0478003256061,224.6285022568,118.161593732381,k_die,500,gsm
8.90228384899436,9.63460708131759,21.5938701165778,13.538205555834,recruits,500,gsm
-7.74442864363115,7.74442864363115,10.6329381921455,6.03299842814079,f_radius,600,gsm
68.0593356591951,68.1568966348049,146.488748398972,80.1847352574544,salinity,600,gsm
-134.931255454381,143.741357158232,319.587396276718,194.67153369925,amplitude,600,gsm
85.6170522855198,95.2846750720899,287.659060967067,141.45107289915,deviation,600,gsm
15.6621420817462,18.3015360211403,36.8844870539021,18.7431598141046,f_growth,600,gsm
-4.19089984425727,51.2971343437768,115.569577591635,64.2542243171137,k_die,600,gsm
1.85542056897154,4.21570902268437,9.80240655185852,4.92722778017102,recruits,600,gsm
